country;var1;var2;
Australia;0.178482119008906;0.903563881481872;0.108465942819848
Austria;0.884596579677492;0.0943438917167355;0.925181509020103
Belgium;0.0307312679433077;0.877350771292416;0.198467971652549
Bulgaria;0.418649176815442;0.0215308331501042;0.441052518162922
Canada;0.216991143408224;0.242558343934311;0.456702888219227
Chile;0.275175130305096;0.508846581036796;0.34532439098339
Croatia;0.286003656135715;0.511782164397703;0.931882181127974
Cyprus (a,b);0.304780932273159;0.381574169377312;0.236594104152966
Czech Republic;0.425490756185061;0.994098249304636;0.724363567659341
Denmark;0.258352455156257;0.422311408352728;0.778595480021117
Estonia;0.0117289522892819;0.253375530400793;0.947945309547157
Finland;0.16097236886099;0.381527564847448;0.681146880842606
France;0.363601289400519;0.25401534486638;0.578199332228773
Germany;0.317109924109093;0.0583155362227366;0.298527609264682
Greece;0.373467919020842;0.372211339913021;0.206091642765097
Hungary;0.658154112432877;0.417878037358638;0.108241457121551
Iceland;0.697813254755226;0.0787759162982173;0.537378161036139
Ireland;0.857692179864393;0.417094047022847;0.294013302357573
Israel;0.52287475872307;0.209068532971762;0.917798967921498
Italy;0.113708599107052;0.0507248944817365;0.000166911878320186
Japan;0.191396646873751;0.301977229094752;0.767577702611471
Korea;0.831998868456036;0.145999845115526;0.135347265766836
Latvia;0.889662409983934;0.0567824273045555;0.889083415558471
Lithuania;0.2488589365959;0.300522148980324;0.000353322601468142
Luxembourg;0.774794056614811;0.42986193136627;0.212684230866723
Malta;0.820016577319773;0.851207511852073;0.549081762462929
Mexico;0.60400349464763;0.77586716504783;0.729746271913407
Netherlands;0.936747217637271;0.239606822716129;0.890538529900081
New Zealand;0.467447653719412;0.873089637646314;0.690592995395829
Norway;0.936050733082626;0.305554404044789;0.51188483338555
Poland;0.358751349881081;0.836390366258097;0.406884989386719
Portugal;0.400614303987066;0.752517695140499;0.489386530224541
Romania;0.774865466805655;0.844049787552268;0.00260530392042968
Slovak Republic;0.273136043098494;0.0584343268582389;0.259757901941909
Slovenia;0.0125100433846487;0.736026222235907;0.951068570047958
Spain;0.588507944561047;0.131531556245844;0.586836026018637
Sweden;0.207036106078012;0.734658943408068;0.859993472807421
Switzerland;0.454924971648502;0.476753514530215;0.344444886767674
United Kingdom;0.0292953782397726;0.14371112755174;0.836132853965742
United States;0.263989037288438;0.467702190147618;0.62265479078121
